------------------------------------------------------------------------------------------------------------------------
Vector testing report
Params:
    conf: "conf/check_1602604387.hocon"

Collected 995 files with 0 errors

------------------------------------------------------------------------------------------------------------------------
Metric: "auroc"
                                       scores_valid                                                              scores_test
                                               mean  t_pm t_int_l t_int_h   std                           values        mean  t_pm t_int_l t_int_h   std                           values
model_name feature_name
           embedding_base_032_mf_0020           0.511 0.014   0.497   0.525 0.011  [0.525 0.499 0.512 0.520 0.501]       0.537 0.018   0.519   0.554 0.014  [0.535 0.531 0.519 0.558 0.541]
           embedding_base_032_mf_0040           0.517 0.014   0.503   0.531 0.011  [0.535 0.504 0.517 0.513 0.516]       0.533 0.018   0.515   0.552 0.015  [0.526 0.528 0.516 0.550 0.547]
           embedding_base_032_mf_0080           0.527 0.019   0.508   0.547 0.016  [0.547 0.505 0.534 0.530 0.520]       0.521 0.018   0.504   0.539 0.014  [0.520 0.499 0.538 0.528 0.522]
           embedding_base_032_mf_0100           0.533 0.021   0.513   0.554 0.017  [0.536 0.511 0.543 0.554 0.523]       0.528 0.024   0.504   0.552 0.019  [0.514 0.501 0.545 0.536 0.544]
           embedding_base_032_mf_0120           0.533 0.021   0.512   0.554 0.017  [0.547 0.504 0.539 0.542 0.533]       0.527 0.018   0.509   0.545 0.015  [0.512 0.514 0.546 0.524 0.537]
           embedding_base_032_mf_0200           0.534 0.018   0.516   0.551 0.014  [0.552 0.514 0.539 0.527 0.536]       0.513 0.015   0.498   0.528 0.012  [0.511 0.521 0.494 0.526 0.512]
           embedding_base_032_mf_0300           0.526 0.016   0.509   0.542 0.013  [0.535 0.503 0.532 0.533 0.525]       0.534 0.020   0.514   0.554 0.016  [0.520 0.522 0.548 0.524 0.554]
           embedding_base_032_mf_0400           0.536 0.019   0.517   0.555 0.015  [0.546 0.512 0.535 0.534 0.552]       0.539 0.012   0.527   0.550 0.009  [0.543 0.543 0.523 0.537 0.547]
           embedding_base_032_mf_0500           0.544 0.022   0.521   0.566 0.018  [0.564 0.519 0.543 0.535 0.556]       0.531 0.014   0.517   0.546 0.012  [0.525 0.535 0.514 0.543 0.539]
           embedding_base_032_mf_0600           0.536 0.017   0.519   0.554 0.014  [0.554 0.517 0.541 0.530 0.541]       0.527 0.021   0.506   0.548 0.017  [0.515 0.529 0.511 0.525 0.555]
           embedding_base_032_mf_0700           0.536 0.018   0.518   0.555 0.015  [0.548 0.513 0.535 0.536 0.551]       0.520 0.008   0.513   0.528 0.006  [0.514 0.517 0.519 0.522 0.530]
           embedding_base_032_mf_0800           0.537 0.011   0.526   0.548 0.009  [0.546 0.523 0.541 0.540 0.537]       0.519 0.016   0.503   0.536 0.013  [0.520 0.505 0.510 0.524 0.539]
           embedding_base_032_mf_0900           0.545 0.016   0.529   0.560 0.013  [0.559 0.526 0.539 0.552 0.547]       0.516 0.021   0.495   0.536 0.017  [0.516 0.493 0.515 0.515 0.540]
           embedding_base_032_mf_1000           0.541 0.019   0.522   0.561 0.016  [0.549 0.519 0.532 0.560 0.546]       0.516 0.017   0.499   0.533 0.013  [0.502 0.504 0.515 0.532 0.528]
           embedding_base_032_mf_1100           0.546 0.019   0.527   0.565 0.015  [0.559 0.525 0.538 0.560 0.547]       0.519 0.022   0.497   0.540 0.018  [0.512 0.516 0.518 0.499 0.547]
           embedding_base_032_mf_1200       *** 0.552 0.016   0.536   0.569 0.013  [0.564 0.542 0.544 0.569 0.543]       0.515 0.010   0.506   0.525 0.008  [0.513 0.516 0.506 0.514 0.527]
           embedding_base_032_mf_1300           0.547 0.014   0.533   0.561 0.011  [0.547 0.538 0.546 0.565 0.538]       0.522 0.017   0.506   0.539 0.013  [0.534 0.518 0.514 0.507 0.538]
